position,title,query,snippet_highlighted_words,rich_snippet_list,snippet,link
22,Men's T-Shirts | UNIQLO US,men's Shirts & T-Shirts,"['t', 'shirts', 'men', 't', 'shirts']",[],"Browse stylish and comfortable t-shirts for men from UNIQLO US. Shop long-sleeve, white t-shirts & more in a wide range of sizes for reasonable prices.",https://www.uniqlo.com/us/en/men/tops/t-shirts
23,Men's Athletic & Casual T-Shirts: Long Sleeve & More,men's Shirts & T-Shirts,"[""men's"", 'shirts', ""men's t"", 'shirts']",[],Our catalog of men's athletic and long sleeve shirts are perfect for any occasion. Dress comfortably & casually with men's t-shirts from Academy.,https://www.academy.com/c/mens/mens-apparel/mens-shirts--t-shirts
24,Men's And Unisex Book T-Shirts For Readers,men's Shirts & T-Shirts,"[""men's"", 't', 'shirts', 'shirts']",[],"Celebrate your favorite stories with men's and unisex book t-shirts. From iconic book covers to funny shirts, shop now to add more literary love to your ...",https://outofprint.com/collections/mens-tees
25,Men's T-shirts | Button Down & Polo Shirts,men's Shirts & T-Shirts,"['t', 'shirts', 'men']",[],"JCPenney - Enjoy a plethora of t-shirts for men, featuring all sorts of colors, patterns & styles. Perfect your favorite outfit. FREE shipping available!",https://www.jcpenney.com/g/men/mens-shirts?item_type=t-shirts&id=cat100240025
26,Men's T-shirts | Explore our New Arrivals - Zara,men's Shirts & T-Shirts,"['T', 'shirts', 'men', ""Men's t"", 'shirt']",[],"Discover Zara T-shirts for men, in a variety of shapes and colors. Men's t-shirt collection includes printed, washed, fitted styles & more.",https://www.zara.com/us/en/man-tshirts-l855.html
27,13 Very Best Black T-Shirts for Men | The Strategist,men's Shirts & T-Shirts,"['T', 'shirts', ""Men's"", 'T', 'shirt']",[],"We asked some stylish guys about their favorite black T-shirts including Buck Mason Slub Curved Hem Tee, Gildan Men's Classic Cotton T-shirt ...",https://nymag.com/strategist/article/best-black-t-shirts-men.html
28,Men's T-Shirts - Men's Apparel,men's Shirts & T-Shirts,"[""Men's T"", 'Shirts', 'T', 'shirt']",[],Men's T-Shirts · TOP FAN PICKS! · Retro Brand Adult/Unisex Seminoles Wyatt Crowell #5 Short Sleeve T-shirt - Garnet · Retro Brand Adult/Unisex Seminoles Jaime ...,https://www.garnetandgold.com/mens/mens-apparel/mens-t-shirts.html
29,Men's Shirts,men's Shirts & T-Shirts,"[""men's"", 'tees', 'tees', 't shirts', 'shirt']",[],"From incredibly soft men's cotton blend undershirts and classic tees to cool graphic tees, tanks, and pocket t shirts, Pair of Thieves has a shirt related ...",https://pairofthieves.com/collections/mens-shirts
30,Men's T-Shirts,men's Shirts & T-Shirts,"['T', 'Shirts', 'Men']",[],Shop the Exclusive T-Shirts Collection for Men at the Official Off-White™Online Store. ✈ Enjoy Free Returns and International Shipping.,https://www.off---white.com/en-ad/shopping/man-clothing-t-shirts
31,Mens T-Shirts in Mens Shirts(1000+),men's Shirts & T-Shirts,"['Mens', 'T Shirt']",[],I Never Argue I Just Explain Why I'm Right Funniest Explaining Graphic Tee Birthday Gift Apparel For Mens Party Lovers Sarcastic Novelty Funny T Shirt.,https://www.walmart.com/browse/clothing/mens-t-shirts/5438_133197_6286551_3187021
32,Men's Designer T-Shirts,men's Shirts & T-Shirts,"['T', 'Shirts']",[],"Designer T-Shirts at Saks: Enjoy free shipping and returns, and discover new arrivals from today's top brands.",https://www.saksfifthavenue.com/c/men/apparel/t-shirts
