position,title,query,snippet_highlighted_words,rich_snippet_list,snippet,link
22,Women's Tops & Shirts: Sale - Madewell,women Tops & Shirts,"[""Women's Tops"", ""women's"", 'shirts', 'tops']",[],Shop Women's Tops on Sale and see our entire collection of women's causal shirts and tops on sale. Free shipping & returns for Madewell Insiders. Madewell.,https://www.madewell.com/womens/sale/tops
23,Tops for Women | T-Shirts & Going Out Tops | ASOS,women Tops & Shirts,"[""women's tops"", 'shirts', 'blouses', 'tops']",[],"Shop for women's tops from ASOS. Shop for shirts, blouses, camisoles and going out tops, in trendy styles - sleeveless, sheer and mesh.",https://www.asos.com/us/women/tops/cat/?cid=4169
24,Tops & Shirts for Women - Tillys,women Tops & Shirts,"[""women's"", 'shirts', 'blouses']",[],"Come out on top with one of these women's t-shirts from Tillys. Shop every style of top you'll need to complete your outfit,from blouses for work, ...",https://www.tillys.com/women/clothing/tops/
25,"Women's Tops & Shirts | Blouses, Tunics & More | Marshalls",women Tops & Shirts,"[""women's tops"", 'shirts', 'blouses']",[],Marshalls has tons of women's tops from shirts to blouses to tunics and more at unbeatable prices. Start browsing - our selection has something for ...,https://www.marshalls.com/us/store/shop/womens-tops/_/N-3329534932
26,"Women's Tops, Blouses & Shirts - Everlane",women Tops & Shirts,"[""women's tops"", 'blouses', 'tops', 'shirts']",[],"Shop Everlane for essential women's tops in modern and classic silhouettes featuring silk blouses, linen tops, polos, button up shirts and more.",https://www.everlane.com/collections/womens-tops
27,Women's Tops - Cute Blouses and Shirts | Lulus,women Tops & Shirts,"[""women's tops""]",[],"Take your pick of our on-trend women's tops: Online shopping with Lulus is effortless and fun, and you might just find a new signature piece!",https://www.lulus.com/categories/10/women-s-tops.html
28,Women's Tops: Casual to Dressy - LOFT,women Tops & Shirts,"['Blouse', 'Shirt']",[],Floral Ruffle Tie Neck Blouse. Best Seller · Oversized Everyday Shirt. Best Seller · Puff Sleeve Sweatshirt $54.95 Rating: 3.5 stars · Floral Ruffle ...,https://www.loft.com/tops/catl000011
29,"Women's Tops, Crop Tops, T-shirts + More - Urban Outfitters",women Tops & Shirts,"['tops and shirts', 'blouses', 'tops']",[],"Shop Urban Outfitters for all your tops and shirts needs. We have everything from sweaters, blouses and crop tops that you're looking for right here.",https://www.urbanoutfitters.com/womens-tops
30,Women's Tops – Blouses & Shirts | Banana Republic,women Tops & Shirts,"[""women's blouses"", 'tops', 'shirts']",[],"Discover women's blouses and tops for every occasion, from tailored shirts in cotton-poplin to silk camisoles. Petite and Tall sizes available at Banana ...",https://bananarepublic.gap.com/browse/category.do?cid=5037
31,"Women's Tops: T-Shirts, Blouses, Sweatshirts & More | Buckle",women Tops & Shirts,"[""women's tops"", 'blouses']",[],"Shop our endless selection of women's tops at Buckle. Keep your closet updated with the latest styles in blouses, graphic tees, sweaters, kimonos, and more!",https://www.buckle.com/womens/section:tops
32,Women's Tops & Shirts | Academy,women Tops & Shirts,"[""women's tops"", 'shirts', ""women's"", 'shirts', 'tops']",[],Build up your style with fashionable women's tops & casual shirts. Shop women's athletic shirts & tops from big brands at Academy Sports + Outdoors.,https://www.academy.com/c/womens/womens-apparel/womens-shirts--tops
33,Women's Shirts & Tops | J.Crew,women Tops & Shirts,"[""Women's shirts"", 'tops', 'shirts', 'tops', ""Women's""]",[],Shop Women's shirts & tops at J.Crew. Find the best shirts & tops and see the entire selection of Women's clothing.,https://www.jcrew.com/plp/womens/categories/clothing/shirts-and-tops
34,Women's Tops and Shirts | Cabela's,women Tops & Shirts,"['shirts', 'tops', ""women's"", 'shirts', ""women's""]",[],"Buy from a wide range of shirts and tops for women's at Cabela's. Shop shirts for women's from Natural Reflections, Bob Timberlake, Columbia, Ascend and ...",https://www.cabelas.com/l/womens-shirts-tops
35,"Women's Tops & Shirts - Tees, Sweatshirts, Blouses & More",women Tops & Shirts,"[""women's tops and shirts""]",[],"Shop Blair's collection of women's tops and shirts including t-shirts, sweatshirts, blouses, graphic tees and more. Get free shipping and great deals!",https://www.blair.com/search/womens/tops
36,Women's Tops - Old Navy,women Tops & Shirts,"[""women's tops"", 'Shirt', 'Women']",[],Shop Old Navy for cute and trendy women's tops for every fit and occasion. Buy online and pick up ... EveryWear Slub-Knit Holiday Graphic T-Shirt for Women.,https://oldnavy.gap.com/browse/category.do?cid=72091
37,Women's Designer Tops & Shirts | GUCCI® US,women Tops & Shirts,"[""women's tops and shirts""]",[],"Shop the women's tops and shirts collection at GUCCI.com, including designer shirts and more. Enjoy free shipping, returns & gift wrapping.",https://www.gucci.com/us/en/ca/women/ready-to-wear-for-women/tops-shirts-for-women-c-women-readytowear-tops-and-shirts
38,Women's Tops & T-Shirts - Boden,women Tops & Shirts,"[""women's tops"", 'shirts']",[],"Off-duty style points, here we come: our collection of women's tops & t-shirts is brimming with flattering fits. Refresh your everyday wardrobe at Boden.",https://www.bodenusa.com/en-us/womens-tops-t-shirts
39,Women's Tops & Shirts | Hobbs London,women Tops & Shirts,"['tops', 'shirts', 'blouses', 'shirts', 'women']",[],"Build your work, weekend and evening outfits around our stylish selection of tops, shirts, blouses and t\-shirts for women.",https://www.hobbs.com/us/clothing/tops/
40,All Women's Tops And Blouses - Amazon.com,women Tops & Shirts,"[""Women's"", 'Tops Blouse', ""Women's"", 'Blouse', ""Women's"", 'Blouse', 'Womens Tops', 'Womens']",[],"Women's Pearl Sheer Mesh Long Sleeve Tops Blouse · Women's Short-Sleeve Woven Blouse · Women's Long-Sleeve Woven Blouse · Womens Tops Casual, Womens 3/4 Sleeve ...",https://www.amazon.com/Womens-Tops-Blouses/s?k=All+Women%27s+Tops+and+Blouses
41,"Women's Shirts & Blouses | Flannels, Tunics & Denim | H&M US",women Tops & Shirts,"[""women's shirts"", 'blouses', 'shirts', 'blouse']",[],"For all occasions, browse our women's shirts and blouses. Discover cozy flannels and Oxford shirts for layering. Grab a crisp white blouse or satin style at ...",https://www2.hm.com/en_us/women/products/shirts-blouses.html
42,Sexy Plus Size Tops & Shirts For Women - Torrid,women Tops & Shirts,"[""women's"", 'tops', 'shirts', 'tops', 'tops']",[],"Shop women's plus size tops, shirts, sexy sequin tops & more at Torrid. Find plus size tops from dressy to crops, all fit to flatter curves!",https://www.torrid.com/clothing/tops/
43,Womens Tops - Amazon.com,women Tops & Shirts,"['Womens Tops', 'Shirts']",[],Price and other details may vary based on product size and color. Best Seller. Womens Tops Hide Belly Tunic 2022 Summer Short Sleeve T Shirts Cute Flowy ...,https://www.amazon.com/womens-tops/s?k=womens+tops
44,Women's Pullover Tops - Chico's,women Tops & Shirts,"[""women's tops"", 'blouses', 'tops', 'women']",[],"Shop Chico's for our selection of women's tops including blouses, tunics, tees, tanks & more. Browse tops for women with free shipping on qualifying orders.",https://www.chicos.com/store/category/tops/cat40002/
