position,title,query,snippet_highlighted_words,rich_snippet_list,snippet,link
23,Women's Jackets & Coats: Clothing,women Jackets & Coats,"[""Women's Jackets & Coats""]",[],"Shop Women's Jackets & Coats and see our entire collection of women's denim jackets, leather jackets and more. Free shipping and returns for Madewell ...",https://www.madewell.com/womens/clothing/jackets-coats
24,WOMEN'S | JACKETS & COATS - Rails,women Jackets & Coats,"['JACKET', 'JACKET', 'COAT']",[],"ROMILY JACKET. BLUESTONE. $298. XXS, XS, S, M, L, XL ... TRIPP SHIRT JACKET+2 colors. AZURE SAPPHIRE. $218 ... JARO COAT+4 colors. TAN PACIFIC CHECK. $388.",https://www.rails.com/collections/womens-jackets-coats
25,Women's Jackets & Coats,women Jackets & Coats,[],[],"Winter Sale starts now! Style and flair with the warmth Columbia Sportswear is known for. Find the right windbreaker, parka, snow shell, or whatever fits ...",https://www.columbia.com/c/womens-jackets/
26,Outerwear - Cute Jackets & Coats for Women,women Jackets & Coats,"['jacket', ""women's coats"", 'jackets', 'jackets']",[],"Stay warm and on-trend in a fashion jacket from Lulus! Shop women's coats, denim jackets, blazers, puffer jackets, trenches & more. Free shipping over $50!",https://www.lulus.com/categories/10_863/outerwear.html
27,Womens Coats & Jackets(1000+),women Jackets & Coats,"['Womens Coats', 'Jackets', 'Womens']",[],Shop for Womens Coats & Jackets in Womens Clothing. Buy products such as ELOQUII Elements Plus Size Buffalo Plaid Belted Shacket at Walmart and save.,https://www.walmart.com/browse/clothing/womens-coats/5438_133162_163847
28,Women's Jackets & Coats | Coats & Jackets for Teenagers,women Jackets & Coats,"[""women's coats"", 'jackets', 'jackets', 'jackets', 'jackets', 'women']",[],"Shop this season's women's coats & jackets at Hollister, featuring on trend shirt jackets, crop jackets, hooded jackets for women & more!",https://www.hollisterco.com/shop/us/womens-jackets-and-coats
29,"Women's Jackets, Coats & Outerwear",women Jackets & Coats,"[""Women's coats"", 'jackets']",[],Shop Women's coats & jackets designed to keep you warm & sophisticated at Banana Republic. Available in luxurious fabrics for special occasion or everyday ...,https://bananarepublic.gap.com/browse/category.do?cid=99915
30,"Women's Winter Coats & Jackets | Puffers, Parkas & More",women Jackets & Coats,"[""women's coats"", 'jackets', 'jackets', 'jackets', 'jackets', 'jackets']",[],"Keep yourself warm with savings on women's coats & jackets from Marshalls.Shop winter jackets, cropped jackets, bomber jackets, leather jackets, ...",https://www.marshalls.com/us/store/shop/womens-coats-jackets/_/N-315328405
31,Women's Outerwear: Jackets & Coats for Women,women Jackets & Coats,"['outerwear', ""women's coats"", 'jackets', ""women's outerwear"", 'coats', 'jackets']",[],"Shop outerwear from LOFT for stylish women's coats and jackets. Find chic women's outerwear, warm coats, trendy shirt jackets and more you'll love today!",https://www.loft.com/jackets-blazers/catl000018
32,"Women's Coats & Jackets | Dress, Casual, Puffer & More",women Jackets & Coats,"[""women's coats"", 'jackets', 'jackets', 'coats', 'jackets', 'outerwear']",[],"Bundle up with women's coats & jackets from T.J.Maxx! Save on jackets for every season, dress coats, casual jackets and more outerwear from our selection ...",https://tjmaxx.tjx.com/store/shop/womens-coats-jackets/_/N-654950445
33,Jackets & Coats for Women | Shop All Outerwear,women Jackets & Coats,"[""women's coats"", 'jackets', 'coats', 'coats']",[],"Shop women's coats and jackets from Aritzia and its exclusive brands. Check out the latest puffers, parkas, wool coats, dusters, trench coats and more.",https://www.aritzia.com/us/en/clothing/coats-jackets
34,Women's Coats & Jackets,women Jackets & Coats,"[""women's coats"", 'jackets', ""women's outerwear"", 'coats']",[],"Shop women's coats and jackets at Lands' End. Free shipping available. View our full women's outerwear collection of rain, winter and lightweight coats.",https://www.landsend.com/shop/womens-coats-jackets-outerwear/S-xfi-xez-y5c-xhi-xec
35,"Women's Coats, Blazers, Jackets & Outerwear",women Jackets & Coats,"[""women's coats"", 'jackets', 'jackets']",[],"Find a great selection of women's coats & jackets at Talbots! Discover wool, puffers, denim jackets & more. Check out our entire collection today.",https://www.talbots.com/clothing/jackets-and-outerwear
36,Women's Outerwear | Online Sale | ZARA United States,women Jackets & Coats,"['JACKET', 'Outerwear', 'Women', 'COAT', 'COAT']",[],WATER REPELLENT PUFFER JACKET. 69.99 USD · Outerwear for Women to Complete Every Outfit · WATER AND WIND PROTECTION HOODED DOWN COAT · JACQUARD COAT LIMITED ...,https://www.zara.com/us/en/woman-outerwear-l1184.html
37,Women's Designer Coats & Jackets,women Jackets & Coats,"[""women's"", 'coats', 'jackets', ""women's jacket""]",[],"Explore women's designer coats and jackets from Michael Kors. Whether you're looking for something lighter for spring, or warm women's jacket we've got it ...",https://www.michaelkors.com/women/clothing/jackets-coats/_/N-28eo
38,Women's Coats & Jackets,women Jackets & Coats,"[""Women's jackets"", ""women's jackets""]",[],Women's jackets from Athleta are designed to keep you warm in your active lifestyle. Find women's jackets with durability and style for every occasion.,https://athleta.gap.com/browse/category.do?cid=1017102
39,Women's Jackets & Coats,women Jackets & Coats,"[""women's jackets"", 'coats']",[],"From leather to denim and everything in between, Chico's offers a great selection of women's jackets, coats & blazers. Free shipping on qualifying orders.",https://www.chicos.com/store/category/jackets+26+coats/cat40001/
