position,title,query,snippet_highlighted_words,rich_snippet_list,snippet,link
23,Score Daily Deals on Plus Size Clothing | Zulily,women Plus Size Clothing,"[""Women's Plus Size Clothing""]",[],Women's Plus Size Clothing · Venus | Blue & Cream Stripe Open Cardigan - Women & Plus · only 4 left · Yummie | Medieval Blue Faux Leather Ankle Zip Leggings - ...,https://www.zulily.com/category/womens-plus
24,Women's Plus Size Clothing & Apparel | Coldwater Creek,women Plus Size Clothing,"[""women's plus size clothing""]",[],"Find women's plus size clothing that fits & flatters you best at Coldwater Creek. Shop a variety of styles, like our plus size tops, jeans and dresses.",https://www.coldwatercreek.com/womens-plus
25,Catherines: Affordable Plus Size Clothing & Fashion for Women,women Plus Size Clothing,"[""women's plus size"", 'plus size woman']",[],Catherines® is dedicated to providing the best in women's plus size fashion. Designed specifically for the plus size woman & guaranteed to fit you ...,https://www.catherines.com/
26,"City Chic: Women's Plus Size Clothing, Dresses, Lingerie ...",women Plus Size Clothing,"['plus size clothing', 'dresses']",[],"The home of the latest fashion in plus size clothing from City Chic! Shop fashion forward dresses, lingerie, jeans, tops, swimwear and so much more!",https://www.citychiconline.com/
27,Fashion To Figure | Plus Size Clothing and Fashion for ...,women Plus Size Clothing,"[""women's plus size clothing""]",[],"Fashion is a state of mind, not a size range. Shop Fashion to Figure for the latest looks in women's plus size clothing, dresses, tops, jeans and wide width ...",https://www.fashiontofigure.com/
28,"Plus Size Women's Clothing, sizes 14w-24w | C&B",women Plus Size Clothing,['Women sized clothing'],[],"Find the quality pieces you love at great prices! Shop Christopher and Banks online for Women sized clothing that is comfortable, stylish and best of all, ...",https://www.christopherandbanks.com/womens-plus-size-14w-24w/
29,Women's Plus Size Clothing & Trendy Outfits | T.J.Maxx,women Plus Size Clothing,"[""women's plus size clothing""]",[],"Check out women's plus size clothing at T.J.Maxx - the latest fashion trends include suits, dresses, coats & jackets, and more. Save big today!",https://tjmaxx.tjx.com/store/shop/womens-plus-size-clothing/_/N-3787371341
30,Plus Size Dresses for Women - Macy's,women Plus Size Clothing,"['Plus Size Dresses', 'dresses']",[],"FREE SHIPPING available on a huge assortment of Plus Size Dresses. Shop formal, cocktail, maxi and party dresses in a variety of sizes, styles, ...",https://www.macys.com/shop/plus-size-clothing/plus-size-dresses?id=37038
31,Plus Size Clothing for Women in Classic Styles | Appleseed's,women Plus Size Clothing,"['plus size clothing', 'women', 'plus size', 'dresses']",[],"Appleseed's' plus size clothing for women includes the latest in plus size tops, pants, dresses and outerwear. Get free shipping. Shop at Appleseed's!",https://www.appleseeds.com/search/womens-plus/
32,Women's Plus Size Clothing - thredUP,women Plus Size Clothing,"['plus size clothing', 'plus size dresses', 'plus size', 'plus size', 'clothes', 'plus size clothing']",[],"Find trendy plus size clothing, everything from plus size dresses to cute plus size tops to plus size workout clothes. New and used plus size clothing on ...",https://www.thredup.com/plus
33,Dia & Co: Plus Size Clothing and Personal Styling for Women,women Plus Size Clothing,"['plus size clothing', 'women']",[],Dia & Co personal styling and plus size clothing for women exclusively in sizes 10-32. No subscription required. Free shipping and returns at dia.com.,https://www.dia.com/
34,Plus-Size Clothing Sale - Nordstrom,women Plus Size Clothing,"[""women's plus sizes""]",[],Free shipping on women's plus sizes on sale at Nordstrom.com. Shop the best brands on sale at Nordstrom.com. Totally free shipping & returns.,https://www.nordstrom.com/browse/sale/women/plus-size
